updater,seeds,converged_runs,final_faults_mean,final_faults_std,final_safety_mean,final_safety_std,final_reward_mean,final_reward_std,best_safety_mean,runtime_mean_s
milp,1,0,48.0,,0.46,,-0.54,,0.46,2262.0068368911743
supervised,1,0,2.0,,1.0,,0.0,,1.0,412.7569670677185
